country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Cost of Living Value,Cost of Living Category,Pollution Value,Pollution Category
Micronesia,14.28,Very Low,55.87,Moderate,53.47,Moderate,56.24,Low,71.26,High
Moldova,47.77,Low,55.52,Moderate,52.12,Moderate,31.44,Very Low,61.33,High
Monaco,88.24,High,76.38,High,75,High,137.37,Very High,78.2,High
Mongolia,31.73,Very Low,47.53,Moderate,51.63,Moderate,30.68,Very Low,87.82,Very High
Montenegro,57.92,Low,64.59,High,41.05,Moderate,37.37,Very Low,43.7,Moderate
Montserrat,0,Very Low,93.38,Very High,0,Very Low,0,Very Low,0,Very Low
Morocco,42.23,Low,52.34,Moderate,46.87,Moderate,27.76,Very Low,68.66,High
Mozambique,18.54,Very Low,38.05,Low,41.15,Moderate,39.14,Very Low,71.57,High
Myanmar,19.87,Very Low,49.14,Moderate,48.6,Moderate,35.88,Very Low,89.79,Very High
Namibia,68.25,Moderate,36.45,Low,65.07,High,30.18,Very Low,40.72,Moderate
Nauru,0,Very Low,49.05,Moderate,0,Very Low,0,Very Low,101.72,Very High
Nepal,28.36,Very Low,63.5,High,57.7,Moderate,23.48,Very Low,83.87,Very High
Netherlands,134.19,Very High,73.36,High,79.47,High,61.41,Moderate,21.14,Low
New Caledonia,99.69,High,36.91,Low,54.17,Moderate,73.43,High,59.31,Moderate
New Zealand,123.9,Very High,51.87,Moderate,68.61,High,59.36,Low,26,Low
